instructions,false_label,true_label,trial_type,descriptor,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,required_response.keys,required_response.corr,required_response.rt,feedback_response.keys,feedback_response.corr,feedback_response.rt,participant,gender,age,frameRate,expName,date,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,3,target_1,0,1,1,1,0,1,1,0,i,1,0.118957996368,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,4,target_2,0,1,1,1,0,2,2,1,e,1,0.235859155655,i,1,0.151436090469,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,4,target_2,0,1,1,1,0,3,3,1,e,1,0.166743993759,i,1,0.101971149445,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,5,target_3,0,1,1,1,1,0,4,2,e,1,0.184851884842,i,1,0.118108034134,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,6,target_4,0,1,1,1,1,1,5,3,i,1,0.150105953217,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,3,target_1,0,1,1,1,1,2,6,0,i,1,0.200515031815,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,5,target_3,0,1,1,1,1,3,7,2,e,1,0.234669923782,i,1,0.169258832932,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,5,target_3,0,1,1,1,2,0,8,2,e,1,0.185126066208,i,1,0.101350784302,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,6,target_4,0,1,1,1,2,1,9,3,i,1,0.0686569213867,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,4,target_2,0,1,1,1,2,2,10,1,e,1,0.286026000977,i,1,0.185437917709,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,6,target_4,0,1,1,1,2,3,11,3,i,1,0.0850780010223,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,5,target_3,0,1,1,1,3,0,12,2,e,1,0.26723408699,i,1,0.185111045837,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,3,target_1,0,1,1,1,3,1,13,0,i,1,0.103041887283,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,3,target_1,0,1,1,1,3,2,14,0,i,1,0.168437004089,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,4,target_2,0,1,1,1,3,3,15,1,e,1,0.302615880966,i,1,0.218007087708,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,6,target_4,0,1,1,1,4,0,16,3,i,1,0.0840218067169,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",FALSE,TRUE,6,target_4,0,1,1,1,4,1,17,3,i,1,0.234368085861,None,0,,,,,59.8752617747,RRT,2016_May_01_1658,
