instructions,stimulus,trial_type,true_label,false_label,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,required_response.keys,required_response.corr,required_response.rt,feedback_response.keys,feedback_response.corr,feedback_response.rt,participant,gender,age,frameRate,expName,date,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not bad,6,TRUE,FALSE,0,1,1,1,0,18,18,15,i,1,0.519934892654,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents statements about self esteem in blue.

You must respond AS IF 'I am good and not bad'.

For example:
When 'I am valuable' appears, respond with TRUE.
When 'I am worthless' appears, respond with FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not interesting,5,TRUE,FALSE,0,1,1,1,0,19,19,13,e,1,1.05522799492,i,1,0.738605976105,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am valuable,3,TRUE,FALSE,0,2,2,2,0,0,0,11,i,1,0.788806200027,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not worthless,6,TRUE,FALSE,0,2,2,2,0,1,1,27,i,1,1.02330303192,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not interesting,5,TRUE,FALSE,0,2,2,2,0,2,2,23,e,1,1.15735292435,i,1,0.871668100357,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",False,2,TRUE,FALSE,0,2,2,2,0,3,3,5,e,1,2.99923014641,i,1,2.7312848568,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am dumb,4,TRUE,FALSE,0,2,2,2,0,4,4,19,e,1,0.837397813797,i,1,0.501962900162,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",I am not a failure,6,TRUE,FALSE,0,2,2,2,0,5,5,26,i,1,0.570374965668,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",Wrong,2,TRUE,FALSE,0,2,2,2,0,6,6,7,e,1,3.48428797722,i,1,3.23205208778,1,,,59.8221439992,RRT,2016_May_01_0130,
"The next phase presents both the orange words and blue statements.

You must both respond to the statements in blue AS IF 'I am good and not bad',
and categorise the orange words as referring to TRUE or FALSE.

Go as quickly as you can while being accurate.
If you make a mistake hit the correct key as soon as possible.

Press E or I to continue.",Accurate,1,TRUE,FALSE,0,2,2,2,0,7,7,3,i,1,0.486335039139,None,0,,1,,,59.8221439992,RRT,2016_May_01_0130,
